PID,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Misc Feature,Misc Val,Pool Area,Pool QC,MS SubClass,MS Zoning,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add
526352080,TA,TA,No,BLQ,838,Unf,0,749,1587,0,0,Attchd,1971,Unf,2,525,TA,TA,NA,0,0,NA,20,RL,Gable,CompShg,MetalSd,MetalSd,BrkFace,302,TA,TA,CBlock,GasA,TA,true,SBrkr,1587,0,0,1587,2,0,3,1,TA,7,Typ,1,Gd,Y,0,44,0,0,0,NA,3,2007,WD ,Normal,167300,85,10667,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,6,1971,1971
526352090,TA,Gd,Gd,GLQ,778,Unf,0,499,1277,1,0,Attchd,1970,Unf,2,526,TA,TA,NA,0,0,NA,20,RL,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,Gd,CBlock,GasA,TA,true,SBrkr,1277,0,0,1277,1,0,2,1,TA,5,Typ,1,Po,Y,0,0,0,0,176,GdWo,4,2007,WD ,Normal,167000,85,10628,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,7,5,1970,1970
526353030,TA,TA,No,ALQ,1065,Unf,0,1045,2110,1,0,Attchd,1968,Fin,2,522,TA,TA,NA,0,0,NA,20,RL,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,TA,CBlock,GasA,Ex,true,SBrkr,2110,0,0,2110,2,1,3,1,Ex,8,Typ,2,TA,Y,0,0,0,0,0,NA,4,2010,WD ,Normal,244000,93,11160,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,7,5,1968,1968
526353050,TA,TA,Mn,BLQ,865,Unf,0,340,1205,0,0,Attchd,1970,Fin,2,550,TA,TA,NA,0,0,NA,20,RL,Gable,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,GasA,Ex,true,SBrkr,2117,0,0,2117,2,1,4,1,TA,7,Typ,2,Gd,Y,0,42,0,0,0,NA,5,2008,WD ,Normal,237500,0,12925,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,6,7,1970,1970
526354020,TA,TA,Mn,Unf,0,Unf,0,1851,1851,0,0,Attchd,1969,Fin,2,506,TA,TA,NA,0,0,NA,20,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,434,TA,Gd,CBlock,GasA,Gd,true,SBrkr,1851,0,0,1851,2,0,3,1,TA,8,Typ,1,TA,Y,0,146,0,0,0,NA,3,2006,WD ,Normal,192100,90,11727,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,7,6,1969,1969
526354070,Fa,TA,Mn,ALQ,500,LwQ,276,176,952,0,0,Attchd,1969,Unf,2,576,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,GasA,TA,true,SBrkr,1092,1020,0,2112,2,1,4,1,TA,9,Typ,2,Gd,Y,280,0,0,0,0,NA,6,2008,WD ,Normal,206900,85,11075,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,2Story,6,5,1969,1969
526355080,Gd,TA,Gd,GLQ,1410,Unf,0,542,1952,1,0,Attchd,1972,Fin,2,538,TA,TA,NA,0,0,NA,80,RL,Gable,CompShg,Plywood,Wd Sdng,None,0,Gd,TA,CBlock,GasA,Gd,true,SBrkr,2000,704,0,2704,2,1,4,1,Ex,9,Typ,3,TA,Y,269,111,0,0,0,MnPrv,7,2009,WD ,Normal,345000,75,13860,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,SLvl,8,7,1972,1995
526355170,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,1,0,Attchd,1973,Fin,2,516,TA,TA,NA,0,0,NA,20,RL,Gable,CompShg,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,GasA,Ex,true,SBrkr,2223,0,0,2223,2,0,3,1,TA,8,Typ,2,Gd,Y,300,0,0,0,0,NA,2,2007,WD ,Normal,244000,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,7,6,1973,1973
526355190,TA,Gd,Gd,ALQ,351,Rec,823,1043,2217,1,0,Attchd,1970,Unf,2,621,TA,TA,NA,0,0,NA,20,RL,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0,Gd,Gd,PConc,GasA,Ex,true,SBrkr,2217,0,0,2217,2,0,4,1,Gd,8,Typ,1,TA,Y,81,207,0,0,224,NA,10,2007,WD ,Normal,268000,95,15865,Pave,NA,IR1,Lvl,AllPub,Inside,Mod,Names,Norm,Normal,1Fam,1Story,8,6,1970,1970
527105010,Gd,TA,No,GLQ,791,Unf,0,137,928,0,0,Attchd,1997,Fin,2,482,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,928,701,0,1629,2,1,3,1,TA,6,Typ,1,TA,Y,212,34,0,0,0,MnPrv,3,2010,WD ,Normal,189900,74,13830,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,5,5,1997,1998
527105030,TA,TA,No,GLQ,602,Unf,0,324,926,0,0,Attchd,1998,Fin,2,470,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,GasA,Ex,true,SBrkr,926,678,0,1604,2,1,3,1,Gd,7,Typ,1,Gd,Y,360,36,0,0,0,NA,6,2010,WD ,Normal,195500,78,9978,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,6,1998,1998
527105050,TA,TA,No,BLQ,706,Unf,0,220,926,0,0,Attchd,1997,Fin,2,470,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Ex,true,SBrkr,926,678,0,1604,2,1,3,1,TA,7,Typ,1,TA,Y,0,36,0,0,0,NA,4,2008,WD ,Normal,187500,72,8702,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997,1998
527105060,TA,TA,No,GLQ,700,Unf,0,113,813,1,0,Attchd,1997,Fin,2,400,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Ex,true,SBrkr,813,712,0,1525,2,1,3,1,TA,6,Typ,1,TA,Y,421,72,0,0,0,NA,5,2006,WD ,Normal,183500,60,8238,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997,1998
527105070,Gd,TA,No,ALQ,847,Unf,0,98,945,0,0,Attchd,1997,Fin,2,470,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Ex,true,SBrkr,945,663,0,1608,2,1,3,1,TA,7,Typ,1,TA,Y,252,30,0,0,0,NA,7,2009,WD ,Normal,189500,88,10179,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997,1997
527105130,Gd,TA,Gd,GLQ,850,Unf,0,158,1008,0,0,BuiltIn,2003,Fin,3,632,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,188,Gd,TA,PConc,GasA,Ex,true,SBrkr,1008,1275,0,2283,2,1,4,1,Gd,9,Typ,1,Gd,Y,120,46,0,0,0,NA,8,2009,WD ,Normal,270000,0,11792,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,8,5,2003,2003
527105140,Gd,TA,Gd,Unf,0,Unf,0,847,847,0,0,BuiltIn,2003,Fin,2,433,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,GasA,Ex,true,SBrkr,847,886,0,1733,2,1,3,1,Gd,7,Typ,1,Gd,Y,100,48,0,0,0,NA,10,2007,WD ,Family,225000,0,12394,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2003,2003
527106010,Gd,TA,No,Unf,0,Unf,0,964,964,0,0,BuiltIn,1997,Fin,2,642,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,285,TA,TA,PConc,GasA,Gd,true,SBrkr,993,1243,0,2236,2,1,4,1,Gd,8,Typ,1,TA,Y,0,0,0,0,0,NA,11,2006,WD ,Normal,222000,0,13006,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,1997,1997
527106050,Gd,TA,No,ALQ,476,Unf,0,204,680,0,0,BuiltIn,1995,Fin,2,420,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,119,TA,TA,PConc,GasA,Gd,true,SBrkr,680,790,0,1470,2,1,3,1,TA,7,Typ,1,TA,Y,192,49,0,0,0,NA,10,2008,WD ,Normal,165000,65,8139,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995,1996
527106140,Gd,TA,Gd,GLQ,851,Unf,0,75,926,0,0,Attchd,1998,Fin,2,472,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Ex,true,SBrkr,926,678,0,1604,2,1,3,1,TA,7,Typ,0,NA,Y,100,82,0,0,0,NA,5,2008,WD ,Normal,195500,59,9535,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1998,1998
527106150,Gd,TA,Gd,GLQ,828,Unf,0,115,943,1,0,Attchd,1998,Fin,2,472,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,943,695,0,1638,2,1,3,1,TA,7,Typ,2,TA,Y,100,38,0,0,0,NA,7,2008,WD ,Normal,192000,59,9042,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1998,1998
527107010,Gd,TA,No,Rec,138,Unf,0,778,916,0,0,Attchd,1996,Fin,2,386,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,916,720,0,1636,2,1,3,1,TA,7,Typ,1,TA,Y,168,84,0,0,0,NA,11,2008,WD ,Normal,173000,0,15038,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1996,1996
527107020,Gd,TA,No,Unf,0,Unf,0,781,781,0,0,Attchd,1995,Fin,2,423,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,781,890,0,1671,2,1,3,1,TA,7,Typ,1,TA,Y,0,84,0,0,0,NA,2,2006,WD ,Normal,170000,0,13041,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995,1995
527107030,Gd,TA,No,ALQ,592,Unf,0,99,691,0,0,Attchd,1995,Fin,2,409,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,691,807,0,1498,2,1,3,1,TA,6,Typ,1,TA,Y,315,44,0,0,0,NA,7,2006,WD ,Normal,187500,0,13031,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995,1996
527107040,Gd,TA,No,Unf,0,Unf,0,806,806,0,0,BuiltIn,1995,Fin,2,373,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,806,766,0,1572,2,1,3,1,TA,7,Typ,1,TA,Y,0,40,0,0,0,NA,5,2007,WD ,Normal,168000,0,10364,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995,1996
527107090,Gd,TA,No,GLQ,450,Unf,0,898,1348,1,0,Attchd,1996,Unf,2,404,TA,TA,NA,0,0,NA,20,RL,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,GasA,Gd,true,SBrkr,1384,0,0,1384,2,0,3,1,Gd,7,Typ,0,NA,Y,0,39,0,0,0,NA,11,2008,WD ,Normal,177900,53,14137,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,1Story,5,5,1996,1997
527107120,Gd,TA,No,Unf,0,Unf,0,821,821,0,0,BuiltIn,1996,Fin,2,443,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,821,955,0,1776,2,1,3,1,TA,7,Typ,1,TA,Y,286,116,0,0,0,NA,5,2006,WD ,Normal,202000,54,9783,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1996,1996
527107130,Gd,TA,No,GLQ,284,Unf,0,100,384,0,0,BuiltIn,1996,Fin,2,390,TA,TA,Shed,490,0,NA,80,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,32,TA,TA,PConc,GasA,Gd,true,SBrkr,958,670,0,1628,2,1,3,1,TA,7,Typ,1,TA,Y,48,72,0,0,0,NA,6,2009,WD ,Normal,189000,60,8400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,SLvl,7,5,1996,1997
527107210,Gd,TA,Gd,GLQ,604,Unf,0,125,729,0,1,Attchd,1996,Unf,2,406,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,Ex,true,SBrkr,729,717,0,1446,2,1,3,1,TA,6,Typ,1,TA,Y,264,22,0,0,0,NA,8,2008,WD ,Normal,175000,57,21872,Pave,NA,IR2,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,1996,1997
527107240,Gd,TA,Av,GLQ,714,Unf,0,88,802,1,0,Attchd,1997,Fin,2,413,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,802,709,0,1511,2,1,3,1,TA,8,Typ,1,TA,Y,95,75,0,0,0,NA,6,2006,WD ,Normal,185000,70,11207,Pave,NA,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997,1997
527108010,Gd,TA,Mn,GLQ,57,Unf,0,1335,1392,1,0,Attchd,2006,RFn,2,576,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,456,Gd,TA,PConc,GasA,Ex,true,SBrkr,1392,1070,0,2462,2,1,4,1,Gd,9,Typ,1,Gd,Y,239,132,0,168,0,NA,3,2006,New,Partial,320000,134,19378,Pave,NA,IR1,HLS,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2005,2006
527108020,Gd,TA,No,Unf,0,Unf,0,1670,1670,0,0,Attchd,2006,RFn,3,690,TA,TA,NA,0,0,NA,20,RL,Hip,CompShg,VinylSd,VinylSd,BrkFace,27,Gd,TA,PConc,GasA,Ex,true,SBrkr,1670,0,0,1670,2,0,3,1,Gd,7,Typ,1,Gd,Y,144,60,0,0,0,NA,8,2006,New,Partial,240000,50,14859,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,1Story,7,5,2006,2006
527108030,Gd,TA,No,Unf,0,Unf,0,1074,1074,0,0,Attchd,2005,Fin,2,527,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,Gd,TA,PConc,GasA,Ex,true,SBrkr,1074,990,0,2064,2,1,4,1,Gd,7,Typ,1,Gd,Y,0,119,0,0,0,NA,1,2006,WD ,Normal,250000,50,13128,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,8,5,2005,2005
527108040,Gd,TA,No,Unf,0,Unf,0,893,893,0,0,Attchd,2005,Fin,3,800,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,GasA,Ex,true,SBrkr,901,900,0,1801,2,1,3,1,Gd,8,Typ,1,Gd,Y,0,116,0,0,0,NA,6,2006,WD ,Normal,239900,72,10463,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,8,5,2005,2005
527108060,Gd,TA,Av,GLQ,60,Unf,0,1640,1700,1,0,Attchd,2006,Fin,3,773,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,248,Gd,TA,PConc,GasA,Ex,true,SBrkr,1700,512,0,2212,2,1,3,1,Gd,9,Typ,1,Gd,Y,237,38,0,0,115,NA,5,2006,New,Partial,309000,42,13751,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2005,2006
527108070,Ex,TA,Gd,GLQ,1320,Unf,0,426,1746,1,0,Attchd,2006,Fin,3,758,TA,TA,NA,0,0,NA,20,RL,Gable,CompShg,VinylSd,VinylSd,Stone,160,Ex,TA,PConc,GasA,Ex,true,SBrkr,1746,0,0,1746,2,0,3,1,Ex,7,Typ,2,Gd,Y,201,39,0,0,0,NA,10,2009,WD ,Normal,377500,42,14892,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,1Story,9,5,2006,2007
527108090,Ex,Gd,No,Unf,0,Unf,0,868,868,0,0,BuiltIn,2006,RFn,2,422,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,GasA,Ex,true,SBrkr,887,1134,0,2021,2,1,3,1,Gd,9,Typ,1,Gd,Y,0,100,0,0,0,NA,9,2006,New,Partial,274725,168,23257,Pave,NA,IR3,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2006,2006
527110020,Gd,TA,No,Unf,0,Unf,0,384,384,0,0,BuiltIn,1995,Fin,2,400,TA,TA,Shed,700,0,NA,80,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,GasA,Gd,true,SBrkr,804,670,0,1474,2,1,3,1,TA,7,Typ,1,TA,Y,120,72,0,0,0,NA,5,2009,WD ,Normal,168500,0,8530,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,SLvl,7,5,1995,1996
527110080,Gd,TA,Av,GLQ,182,Unf,0,612,794,0,1,Attchd,1997,Fin,2,388,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,794,676,0,1470,2,0,3,1,TA,6,Typ,0,NA,Y,0,75,0,0,0,NA,7,2007,WD ,Normal,177000,0,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,6,1997,1997
527110120,Gd,TA,Av,Unf,0,Unf,0,916,916,0,0,Attchd,1997,Fin,2,460,TA,TA,NA,0,0,NA,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,Gd,true,SBrkr,916,684,0,1600,2,1,3,1,TA,7,Typ,1,TA,Y,100,38,0,0,0,NA,8,2007,WD ,Normal,169000,57,8773,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997,1997
